[2024-11-07 02:08:00.641]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-07 02:08:00.655]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-07 02:08:00.703]	 Installing "tmux-power"
[2024-11-07 02:08:00.703]	 Installing "tmux-copycat"
[2024-11-07 02:08:00.703]	 Installing "tmux-cpu"
[2024-11-07 02:08:02.349]	   "tmux-power" download success
[2024-11-07 02:08:02.451]	   "tmux-cpu" download success
[2024-11-07 02:08:02.956]	   "tmux-copycat" download success
[2024-11-07 02:08:02.992]	 Done.

[2024-11-07 14:13:33.195]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-07 14:13:33.214]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-07 14:13:33.278]	 Already installed "tmux-cpu"
[2024-11-07 14:13:33.278]	 Already installed "tmux-copycat"
[2024-11-07 14:13:33.278]	 Already installed "tmux-power"
[2024-11-07 14:13:33.295]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-07 14:13:33.324]	 Updating all plugins!
[2024-11-07 14:13:33.325]	 
[2024-11-07 14:13:34.565]	   "tmux-cpu" update success
[2024-11-07 14:13:34.565]	   "tmux-power" update success
[2024-11-07 14:13:34.568]	     | Already up to date.
[2024-11-07 14:13:34.568]	     | Already up to date.
[2024-11-07 14:13:34.585]	   "tmux-copycat" update success
[2024-11-07 14:13:34.589]	     | Already up to date.
[2024-11-07 14:13:34.605]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-07 14:13:34.672]	 Done.

[2024-11-08 16:52:46.327]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-08 16:52:46.343]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-08 16:52:46.411]	 Already installed "tmux-power"
[2024-11-08 16:52:46.411]	 Already installed "tmux-copycat"
[2024-11-08 16:52:46.416]	 Already installed "tmux-cpu"
[2024-11-08 16:52:46.462]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-08 16:52:46.495]	 Updating all plugins!
[2024-11-08 16:52:46.495]	 
[2024-11-08 16:52:47.829]	   "tmux-cpu" update success
[2024-11-08 16:52:47.829]	   "tmux-copycat" update success
[2024-11-08 16:52:47.829]	   "tmux-power" update success
[2024-11-08 16:52:47.832]	     | Already up to date.
[2024-11-08 16:52:47.832]	     | Already up to date.
[2024-11-08 16:52:47.832]	     | Already up to date.
[2024-11-08 16:52:47.847]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-08 16:52:47.910]	 Done.

[2024-11-08 17:37:33.709]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-08 17:37:33.748]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-08 17:37:33.884]	 Already installed "tmux-copycat"
[2024-11-08 17:37:33.892]	 Already installed "tmux-cpu"
[2024-11-08 17:37:33.900]	 Already installed "tmux-power"
[2024-11-08 17:37:33.938]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-08 17:37:34.001]	 Updating all plugins!
[2024-11-08 17:37:34.001]	 
[2024-11-08 17:37:35.412]	   "tmux-copycat" update success
[2024-11-08 17:37:35.412]	   "tmux-cpu" update success
[2024-11-08 17:37:35.412]	   "tmux-power" update success
[2024-11-08 17:37:35.417]	     | Already up to date.
[2024-11-08 17:37:35.417]	     | Already up to date.
[2024-11-08 17:37:35.418]	     | Already up to date.
[2024-11-08 17:37:35.446]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-08 17:37:35.614]	 Done.

[2024-11-09 13:38:01.072]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-09 13:38:01.101]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-09 13:38:01.177]	 Already installed "tmux-copycat"
[2024-11-09 13:38:01.177]	 Already installed "tmux-power"
[2024-11-09 13:38:01.185]	 Already installed "tmux-cpu"
[2024-11-09 13:38:01.227]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-09 13:38:01.256]	 Updating all plugins!
[2024-11-09 13:38:01.257]	 
[2024-11-09 13:38:02.591]	   "tmux-power" update success
[2024-11-09 13:38:02.591]	   "tmux-cpu" update success
[2024-11-09 13:38:02.591]	   "tmux-copycat" update success
[2024-11-09 13:38:02.594]	     | Already up to date.
[2024-11-09 13:38:02.594]	     | Already up to date.
[2024-11-09 13:38:02.594]	     | Already up to date.
[2024-11-09 13:38:02.610]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-09 13:38:02.680]	 Done.

[2024-11-09 23:10:33.568]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-09 23:10:33.590]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-09 23:10:33.643]	 Already installed "tmux-cpu"
